"EVALUATION"    , "BUFFET"        , "DRAG"          , "EFFICIENCY"    , "FORCE_X"       , "FORCE_Y"       , "FORCE_Z"       , "LIFT"          , "MOMENT_X"      , "MOMENT_Y"      , "MOMENT_Z"      , "SIDEFORCE"     , "Time_Iter"     , "Outer_Iter"    , "Inner_Iter"    , "RMS_DENSITY"   , "RMS_MOMENTUM-X", "RMS_MOMENTUM-Y", "RMS_ENERGY"    , "RMS_NU_TILDE"  , "RefForce"      
67              , 0.0006801086886 , 0.007977526129  , 77.98544945     , 0.001846444245  , 0.6221793663    , 0.0             , 0.6221309607    , 0.0             , 0.0             , 0.1271504781    , 0.0             , 0.0             , 0.0             , 9716.0          , -12.00047085    , -10.28846488    , -10.69238825    , -7.651689366    , -14.58283686    , 15761.82561     
68              , 0.0006461953402 , 0.007622749971  , 81.61506857     , 0.0006712641334 , 0.6221775972    , 0.0             , 0.6221312616    , 0.0             , 0.0             , 0.1166885196    , 0.0             , 0.0             , 0.0             , 8443.0          , -12.00028921    , -10.32084044    , -10.84769056    , -7.780573764    , -14.68963941    , 15761.82561     
69              , 0.0006435589586 , 0.007600676874  , 81.85205824     , 0.0006329794726 , 0.6221771517    , 0.0             , 0.6221310461    , 0.0             , 0.0             , 0.1160217225    , 0.0             , 0.0             , 0.0             , 7703.0          , -12.00052249    , -10.28860441    , -10.83057529    , -7.735114562    , -14.70302091    , 15761.82561     
70              , 0.0006458298486 , 0.007591299262  , 81.95313649     , 0.0009488484325 , 0.6221763742    , 0.0             , 0.6221307845    , 0.0             , 0.0             , 0.1173160928    , 0.0             , 0.0             , 0.0             , 9494.0          , -12.00018282    , -10.26368635    , -10.71906019    , -7.597161265    , -14.74883287    , 15761.82561     
71              , 0.0003745086307 , 0.007596064727  , 81.90174545     , 0.004952932807  , 0.6221576164    , 0.0             , 0.6221309596    , 0.0             , 0.0             , 0.1335062314    , 0.0             , 0.0             , 0.0             , 9999.0          , -11.10666542    , -9.460551359    , -10.04591646    , -6.998382474    , -13.76117565    , 15761.82561     
72              , 0.0006530385447 , 0.007571646315  , 82.16584373     , 0.001939000608  , 0.6221737602    , 0.0             , 0.6221307079    , 0.0             , 0.0             , 0.1214022699    , 0.0             , 0.0             , 0.0             , 9999.0          , -11.80574757    , -10.12505416    , -10.6023033     , -7.541540045    , -14.55397113    , 15761.82561     
73              , 0.0006553860839 , 0.007564836375  , 82.23980568     , 0.002308685129  , 0.6221723809    , 0.0             , 0.6221306735    , 0.0             , 0.0             , 0.1229182184    , 0.0             , 0.0             , 0.0             , 9576.0          , -12.00048056    , -10.29227012    , -10.72833557    , -7.647834244    , -14.73375813    , 15761.82561     
74              , 0.0006547243535 , 0.007564168182  , 82.2471179      , 0.002244574222  , 0.6221729662    , 0.0             , 0.6221310323    , 0.0             , 0.0             , 0.1227241558    , 0.0             , 0.0             , 0.0             , 8374.0          , -12.00039721    , -10.28506344    , -10.77538499    , -7.669000879    , -14.71525481    , 15761.82561     
75              , 0.0006263336236 , 0.007702547594  , 80.76955633     , -0.001090809276 , 0.622178076     , 0.0             , 0.6221313518    , 0.0             , 0.0             , 0.1097259532    , 0.0             , 0.0             , 0.0             , 9999.0          , -11.66304742    , -9.980050715    , -10.41034416    , -7.250587502    , -14.51700259    , 15761.82561     
76              , 0.0006518171917 , 0.007568220995  , 82.20310395     , 0.001897410234  , 0.622174396     , 0.0             , 0.6221312572    , 0.0             , 0.0             , 0.1214388438    , 0.0             , 0.0             , 0.0             , 8657.0          , -12.00047581    , -10.29139729    , -10.81785992    , -7.687470877    , -14.72215032    , 15761.82561     
77              , 0.0006544379939 , 0.007564151365  , 82.24729141     , 0.002210027341  , 0.622173019     , 0.0             , 0.6221309616    , 0.0             , 0.0             , 0.1225978044    , 0.0             , 0.0             , 0.0             , 7814.0          , -12.00020491    , -10.27881788    , -10.74557561    , -7.6542029      , -14.70344361    , 15761.82561     
78              , 0.0006510646781 , 0.007569082631  , 82.19370828     , 0.001940425428  , 0.6221739863    , 0.0             , 0.6221309697    , 0.0             , 0.0             , 0.1218237891    , 0.0             , 0.0             , 0.0             , 8018.0          , -12.0004324     , -10.29819976    , -10.85197105    , -7.71343207     , -14.64713464    , 15761.82561     
79              , 0.0006540940004 , 0.007563328705  , 82.2562722      , 0.002181479191  , 0.6221733728    , 0.0             , 0.6221312247    , 0.0             , 0.0             , 0.122518853     , 0.0             , 0.0             , 0.0             , 7861.0          , -12.00030594    , -10.29314292    , -10.75439102    , -7.680010419    , -14.70724415    , 15761.82561     
80              , 0.0006542653824 , 0.007561827794  , 82.27260964     , 0.002225088919  , 0.6221732817    , 0.0             , 0.6221313063    , 0.0             , 0.0             , 0.1227721429    , 0.0             , 0.0             , 0.0             , 7051.0          , -12.00003909    , -10.25349527    , -10.69859623    , -7.603304746    , -14.50101939    , 15761.82561     
